ID,Player,Team,Date,Opp,Fantasy_Score,predictions_2019
201,Harris,Brooklyn Nets,12/28/2018,CHO,4,16.81199853
202,Harris,Brooklyn Nets,12/29/2018,MIL,23,13.3712858
203,Harris,Brooklyn Nets,1/2/2019,NOP,27,13.62325523
204,Harris,Brooklyn Nets,1/4/2019,MEM,24,14.81869318
205,Harris,Brooklyn Nets,1/6/2019,CHI,2,16.94880398
206,Harris,Brooklyn Nets,1/9/2019,ATL,24,15.10559354
207,Harris,Brooklyn Nets,1/11/2019,TOR,9,14.36253661
208,Harris,Brooklyn Nets,1/14/2019,BOS,15,12.8901763
209,Harris,Brooklyn Nets,1/16/2019,HOU,21,13.72118716
210,Harris,Brooklyn Nets,1/18/2019,ORL,17,15.11406631
211,Harris,Brooklyn Nets,1/21/2019,SAC,25,16.68882094
212,Harris,Brooklyn Nets,1/23/2019,ORL,15,14.7959933
213,Harris,Brooklyn Nets,1/25/2019,NYK,14,16.26645638
214,Harris,Brooklyn Nets,1/28/2019,BOS,7,16.11290108
215,Harris,Brooklyn Nets,1/29/2019,CHI,21,13.78026077
216,Harris,Brooklyn Nets,1/31/2019,SAS,24,13.3985208
217,Harris,Brooklyn Nets,2/2/2019,ORL,6,14.12666017
218,Harris,Brooklyn Nets,2/6/2019,DEN,23,14.9513431
219,Harris,Brooklyn Nets,2/8/2019,CHI,25,15.60553107
220,Harris,Brooklyn Nets,2/11/2019,TOR,38,14.00107104
221,Harris,Brooklyn Nets,2/13/2019,CLE,33,15.74319151
222,Harris,Brooklyn Nets,2/21/2019,POR,13,15.23282077
223,Harris,Brooklyn Nets,2/23/2019,CHO,25,16.92035767
224,Harris,Brooklyn Nets,2/25/2019,SAS,25,14.10644567
225,Harris,Brooklyn Nets,2/27/2019,WAS,10,13.57948038
226,Harris,Brooklyn Nets,3/1/2019,CHO,11,13.32510102
227,Harris,Brooklyn Nets,3/2/2019,MIA,19,16.01943304
228,Harris,Brooklyn Nets,3/4/2019,DAL,13,14.29923779
229,Harris,Brooklyn Nets,3/6/2019,CLE,11,16.2694202
230,Harris,Brooklyn Nets,3/9/2019,ATL,13,14.91358831
231,Harris,Brooklyn Nets,3/11/2019,DET,14,13.36980281
232,Harris,Brooklyn Nets,3/13/2019,OKC,19,15.06526387
233,Harris,Brooklyn Nets,3/16/2019,UTA,6,14.02647435
234,Harris,Brooklyn Nets,3/17/2019,LAC,18,15.39207823
235,Harris,Brooklyn Nets,3/19/2019,SAC,11,14.07186037
236,Harris,Brooklyn Nets,3/22/2019,LAL,38,15.18464059
237,Harris,Brooklyn Nets,3/25/2019,POR,15,15.75738879
238,Harris,Brooklyn Nets,3/28/2019,PHI,30,14.4803663
239,Harris,Brooklyn Nets,3/30/2019,BOS,19,14.37093633
240,Harris,Brooklyn Nets,4/1/2019,MIL,27,13.35970033
241,Harris,Brooklyn Nets,4/3/2019,TOR,11,15.38014404
242,Harris,Brooklyn Nets,4/6/2019,MIL,20,14.37693891
