
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
58,,2018-02-13,19-272,OKC,,CLE,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,43,2018-02-14,19-273,OKC,@,MEM,W (+7),0,10:05,3,3,1.000,2,2,1.000,0,0,,1,0,1,0,0,0,0,1,8,7.4,0
60,44,2018-02-22,19-281,OKC,@,SAC,W (+3),0,13:27,2,3,.667,2,2,1.000,0,0,,0,0,0,1,0,0,0,3,6,4.2,-30
61,45,2018-02-24,19-283,OKC,@,GSW,L (-32),0,4:19,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,3.0,-4
62,46,2018-02-26,19-285,OKC,,ORL,W (+7),0,13:12,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,2,0,1,2,2.0,+3
63,47,2018-02-28,19-287,OKC,@,DAL,W (+1),0,10:14,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,2.7,+3
64,48,2018-03-02,19-289,OKC,@,PHO,W (+8),0,9:26,3,3,1.000,2,2,1.000,0,0,,0,0,0,1,0,1,0,3,8,7.3,+7
65,,2018-03-03,19-290,OKC,@,POR,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,49,2018-03-06,19-293,OKC,,HOU,L (-10),0,7:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-7
67,50,2018-03-08,19-295,OKC,,PHO,W (+28),0,10:39,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,2.0,-5
68,,2018-03-10,19-297,OKC,,SAS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
