Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2017-10-18,26-216,DET,,CHO,W (+12),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
2,,2017-10-20,26-218,DET,@,WAS,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2017-10-21,26-219,DET,@,NYK,W (+4),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
4,,2017-10-23,26-221,DET,,PHI,L (-11),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
5,,2017-10-25,26-223,DET,,MIN,W (+21),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
47,32,2018-01-27,26-317,DET,,OKC,L (-13),0,33:59,6,13,.462,4,11,.364,0,0,,1,5,6,4,1,0,2,1,16,12.9,+6
48,33,2018-01-28,26-318,DET,@,CLE,L (-17),1,30:18,4,8,.500,4,6,.667,2,2,1.000,0,5,5,4,1,0,0,1,14,14.9,-16
49,34,2018-01-30,26-320,DET,,CLE,W (+11),1,29:33,9,15,.600,4,6,.667,0,1,.000,0,2,2,2,0,0,1,5,22,13.7,+12
50,35,2018-02-01,26-322,DET,,MEM,W (+2),1,35:05,5,10,.500,2,6,.333,3,4,.750,0,2,2,0,0,0,0,0,15,10.2,+10
51,36,2018-02-03,26-324,DET,,MIA,W (+4),1,35:50,3,7,.429,2,5,.400,0,0,,0,3,3,1,1,0,2,1,8,4.5,-2
52,37,2018-02-05,26-326,DET,,POR,W (+20),1,34:16,4,8,.500,3,5,.600,2,3,.667,0,6,6,3,3,0,0,0,13,15.5,+22
53,38,2018-02-07,26-328,DET,,BRK,W (+9),1,34:24,4,7,.571,1,2,.500,0,0,,0,2,2,1,0,1,0,1,9,7.3,+3
54,39,2018-02-09,26-330,DET,,LAC,L (-13),1,39:35,7,11,.636,5,9,.556,0,0,,0,5,5,2,0,0,1,1,19,15.6,-2
55,40,2018-02-11,26-332,DET,@,ATL,L (-3),1,33:37,7,13,.538,3,6,.500,3,4,.750,0,5,5,2,0,0,3,2,20,12.4,-4
56,41,2018-02-12,26-333,DET,,NOP,L (-15),1,30:16,4,13,.308,1,4,.250,5,5,1.000,1,3,4,1,0,0,1,0,14,7.8,-16
57,42,2018-02-14,26-335,DET,,ATL,W (+6),1,29:34,6,13,.462,3,7,.429,0,0,,1,2,3,1,1,1,3,1,15,8.6,+21
58,43,2018-02-23,26-344,DET,,BOS,L (-12),1,31:07,5,13,.385,3,9,.333,0,0,,0,1,1,1,0,1,1,1,13,6.2,0
59,44,2018-02-25,26-346,DET,@,CHO,L (-16),1,29:39,5,14,.357,1,5,.200,3,4,.750,1,2,3,5,0,0,1,2,14,8.8,-8
60,45,2018-02-26,26-347,DET,@,TOR,L (-29),1,32:09,6,12,.500,2,5,.400,0,0,,0,2,2,1,1,0,2,0,14,8.3,-17
61,46,2018-02-28,26-349,DET,,MIL,W (+23),1,25:27,7,14,.500,2,4,.500,0,0,,0,2,2,3,1,0,0,2,16,11.9,+10
62,47,2018-03-02,26-351,DET,@,ORL,L (-9),1,40:43,7,21,.333,4,11,.364,3,4,.750,2,3,5,1,1,0,2,0,21,10.7,-11
63,48,2018-03-03,26-352,DET,@,MIA,L (-9),1,33:19,4,14,.286,1,6,.167,2,2,1.000,2,6,8,3,2,0,2,2,11,7.3,+5
64,49,2018-03-05,26-354,DET,@,CLE,L (-22),1,29:00,4,10,.400,3,7,.429,0,0,,0,1,1,1,0,2,1,2,11,6.2,-15
65,50,2018-03-07,26-356,DET,,TOR,L (-2),1,38:47,7,13,.538,3,6,.500,4,4,1.000,0,3,3,4,0,0,1,2,21,16.6,-18
66,51,2018-03-09,26-358,DET,,CHI,W (+16),1,32:34,9,12,.750,3,6,.500,0,0,,0,3,3,1,0,0,1,1,21,16.4,+16
67,,2018-03-13,26-362,DET,@,UTA,L (-31),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,52,2018-03-15,26-364,DET,@,DEN,L (-7),1,35:17,7,12,.583,3,5,.600,0,0,,0,0,0,4,0,0,1,1,17,12.8,-1
69,53,2018-03-17,27-001,DET,@,POR,L (-13),1,30:42,5,10,.500,3,5,.600,0,0,,2,1,3,2,2,0,0,0,13,13.1,-16
70,54,2018-03-19,27-003,DET,@,SAC,W (+16),1,31:16,7,13,.538,3,6,.500,0,0,,0,0,0,2,0,0,0,0,17,12.1,+15
71,55,2018-03-20,27-004,DET,@,PHO,W (+27),1,20:58,4,9,.444,2,3,.667,2,2,1.000,0,1,1,1,1,0,1,3,12,7.1,+11
72,56,2018-03-22,27-006,DET,@,HOU,L (-4),1,38:57,5,10,.500,2,7,.286,0,0,,0,8,8,4,2,1,3,1,12,11.5,+9
73,57,2018-03-24,27-008,DET,,CHI,W (+22),1,29:03,5,9,.556,4,7,.571,0,0,,0,0,0,3,0,0,2,0,14,9.8,+19
74,58,2018-03-26,27-010,DET,,LAL,W (+6),1,29:30,7,14,.500,2,3,.667,0,0,,1,4,5,0,1,1,0,0,16,12.6,+5
75,59,2018-03-29,27-013,DET,,WAS,W (+11),1,29:20,6,9,.667,2,4,.500,0,0,,0,1,1,3,1,0,1,0,14,12.5,+9
76,60,2018-03-31,27-015,DET,@,NYK,W (+6),1,33:22,6,14,.429,2,4,.500,2,2,1.000,1,3,4,3,2,0,1,1,16,12.9,-1
77,61,2018-04-01,27-016,DET,@,BRK,W (+12),1,35:25,2,10,.200,1,5,.200,0,0,,2,3,5,0,0,0,0,2,5,0.3,+3
78,62,2018-04-04,27-019,DET,,PHI,L (-7),1,30:41,5,10,.500,4,7,.571,1,1,1.000,1,2,3,1,0,0,1,2,15,10.2,+3
79,,2018-04-06,27-021,DET,,DAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2018-04-08,27-023,DET,@,MEM,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,,2018-04-09,27-024,DET,,TOR,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,2018-04-11,27-026,DET,@,CHI,W (+32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
